game_id,game_date,away_team_id,home_team_id
401826793,2025-11-09,349,2900
401823455,2025-11-09,2117,71
401823322,2025-11-09,2823,2623
401819889,2025-11-09,91,2306
401811966,2025-11-09,2634,2057
401823539,2025-11-09,292,253
401824038,2025-11-09,2029,2351
401820396,2025-11-09,236,2439
401826907,2025-11-09,2277,28
401824126,2025-11-09,13,2547
401824062,2025-11-09,279,2440
401812600,2025-11-09,160,108
401828296,2025-11-09,2711,2097
401826732,2025-11-09,2428,2026
401823022,2025-11-09,84,269
401822758,2025-11-09,2154,256
401812574,2025-11-09,219,44
401828576,2025-11-09,2413,61
401823485,2025-11-09,288,2382
401823417,2025-11-09,2330,189
401823393,2025-11-09,2936,2870
401823256,2025-11-09,2463,155
401820542,2025-11-09,2571,2460
401818548,2025-11-09,261,225
401813320,2025-11-09,2368,159
401813287,2025-11-09,245,197
401813254,2025-11-09,172,2287
401811103,2025-11-09,127162,233
401826896,2025-11-09,2358,2348
401825577,2025-11-09,2172,147
401819916,2025-11-09,2329,277
401819814,2025-11-09,3101,9
401828912,2025-11-09,2474,339
401823515,2025-11-09,2678,142
401828276,2025-11-09,249,2350
401824089,2025-11-09,302,2501
401823555,2025-11-09,304,21
401827088,2025-11-09,2755,47
401826772,2025-11-09,2226,2335
401823858,2025-11-09,2363,30
401823808,2025-11-09,2437,36
401827257,2025-11-09,2572,2579
401829390,2025-11-10,3077,2630
401819824,2025-11-10,264,239
401824896,2025-11-10,2837,62
401812787,2025-11-10,171,41
401813758,2025-11-11,2698,26
401819872,2025-11-11,344,66
401830743,2025-11-10,2404,2275
401828476,2025-11-10,2891,2739
401828307,2025-11-10,2890,55
401827011,2025-11-10,3120,2582
401826761,2025-11-10,2441,2349
401824869,2025-11-10,3242,231
401823003,2025-11-10,130195,2754
401820623,2025-11-10,311,164
401813375,2025-11-10,2169,315
401828914,2025-11-11,282,2565
401827526,2025-11-11,2569,2448
401826968,2025-11-11,2822,2241
401826938,2025-11-11,2506,2247
401826829,2025-11-11,3229,2635
401823400,2025-11-11,2242,2523
401823359,2025-11-11,98,2198
401823189,2025-11-11,2217,2550
401823010,2025-11-11,350,2309
401820838,2025-11-11,2127,2643
401817443,2025-11-11,2199,221
401809415,2025-11-11,56,2390
401830124,2025-11-11,2892,2433
401829443,2025-11-11,128256,2377
401828905,2025-11-11,2564,2181
401823866,2025-11-11,3166,250
401822310,2025-11-11,2031,270
401817184,2025-11-11,2815,139
401812251,2025-11-11,2320,2628
401808892,2025-11-11,2443,99
401826913,2025-11-11,325,77
401823559,2025-11-11,2541,2752
401823462,2025-11-11,2459,2253
401812661,2025-11-11,107,254
401808950,2025-11-11,2545,59
401824135,2025-11-11,2900,265
401830114,2025-11-11,124946,300
401817220,2025-11-11,2239,25
401817230,2025-11-12,150,349
401825588,2025-11-12,2464,12
401817529,2025-11-11,154,130
401819835,2025-11-12,48,252
401817241,2025-11-12,96,97
401826707,2025-11-12,52,57
401811097,2025-11-12,2641,356
401817264,2025-11-12,2515,153
401820831,2025-11-12,156,2250
401824935,2025-11-12,2110,8
401823476,2025-11-12,2747,2
401822319,2025-11-12,2050,275
401819883,2025-11-12,357,2305
401823375,2025-11-11,130262,85
401824303,2025-11-11,314,140
401823523,2025-11-11,2903,2000
401812353,2025-11-11,112358,2005
401828496,2025-11-11,3238,2916
401813274,2025-11-11,2378,2415
401827109,2025-11-11,3189,2065
401828267,2025-11-11,126848,399
401827495,2025-11-11,3196,2619
401826733,2025-11-11,2026,194
401824947,2025-11-11,288,2427
401820150,2025-11-11,2426,213
401828720,2025-11-12,2450,295
401827512,2025-11-12,2182,2142
401827216,2025-11-12,2016,120
401827209,2025-11-12,3173,2653
401827066,2025-11-12,2737,324
401826699,2025-11-12,2107,2244
401824825,2025-11-12,50,2116
401823563,2025-11-12,2529,222
401823433,2025-11-12,2466,2453
401823408,2025-11-12,2649,2750
401823368,2025-11-12,128438,2174
401823341,2025-11-12,294,2272
401823226,2025-11-12,290,526
401822178,2025-11-12,2325,218
401822167,2025-11-12,2681,2230
401820824,2025-11-12,2130,2086
401820798,2025-11-12,2166,2429
401820184,2025-11-12,2885,2352
401817174,2025-11-12,2729,257
401817165,2025-11-12,284,227
401813436,2025-11-12,2168,2132
401812918,2025-11-12,2413,228
401812644,2025-11-12,2115,103
401812601,2025-11-12,111,108
401812575,2025-11-12,219,2507
401812380,2025-11-12,116,2598
401809075,2025-11-12,2083,163
401827497,2025-11-12,111914,119
401826851,2025-11-12,2011,5
401818299,2025-11-12,43,2514
401817433,2025-11-12,2197,87
401829455,2025-11-12,561,155
401829385,2025-11-12,3083,2634
401828920,2025-11-12,2595,82
401826996,2025-11-12,2771,2627
401826844,2025-11-12,2655,309
401826805,2025-11-12,2617,242
401826777,2025-11-12,2029,201
401823427,2025-11-12,2084,305
401823323,2025-11-12,2032,2623
401823257,2025-11-12,2463,2449
401823038,2025-11-12,2379,158
401817454,2025-11-12,93,2567
401813446,2025-11-12,2511,2184
401823757,2025-11-12,2046,2751
401823540,2025-11-12,3246,253
401826797,2025-11-12,235,145
401826043,2025-11-12,27,167
401824069,2025-11-12,124946,2492
401824039,2025-11-12,2351,2638
401823815,2025-11-12,292,68
401817488,2025-11-12,2261,258
401830630,2025-11-12,2424,166
401823551,2025-11-12,2710,2934
401829049,2025-11-12,195,2608
401826928,2025-11-12,2540,16
401820397,2025-11-12,149,2439
401824811,2025-11-13,2473,248
401823442,2025-11-13,2454,2633
401823516,2025-11-12,3229,2678
401820605,2025-11-12,2066,46
401828734,2025-11-13,2073,2428
401828337,2025-11-13,2932,338
401827262,2025-11-13,2210,276
401827060,2025-11-13,3243,2908
401826992,2025-11-13,256,2344
401826939,2025-11-13,2506,2579
401826758,2025-11-13,2211,160
401824886,2025-11-13,94,2193
